,text,cleaned,casefolding,stopword,normalisasi,stemming,tokenisasi
0,"Klo law of attraction itu bener, prabowo dah dari dulu jadi presiden","Klo law of attraction itu bener, prabowo dah dari dulu jadi presiden","klo law of attraction itu bener, prabowo dah dari dulu jadi presiden","klo law of attraction bener, prabowo dah dulu jadi presiden","kalau hukum of attraction benar , prabowo udah dulu jadi presiden",kalau hukum of attraction benar prabowo udah dulu jadi presiden,"['kalau', 'hukum', 'of', 'attraction', 'benar', 'prabowo', 'udah', 'dulu', 'jadi', 'presiden']"
1,"Yang bener aje, rugi dong plih Pak prabowo. Buktinya aja videotron ditakedown. Yang nuduh #TerorisBomBaliDukung4nies sebaiknya ngaca dulu deh. Kasus KM 50 Rohingya Kanjuruhan Usut dulu noh Diatas. Kreativitas dibatasi Demokrasi terdegradasi #PahitManiesAlwaysWithAnies #FokusAMIN https://t.co/zxpqV5ROOr","Yang bener aje, rugi dong plih Pak prabowo. Buktinya aja videotron ditakedown. Yang nuduh sebaiknya ngaca dulu deh. Kasus KM Rohingya Kanjuruhan Usut dulu noh Diatas. Kreativitas dibatasi Demokrasi terdegradasi","yang bener aje, rugi dong plih pak prabowo. buktinya aja videotron ditakedown. yang nuduh sebaiknya ngaca dulu deh. kasus km rohingya kanjuruhan usut dulu noh diatas. kreativitas dibatasi demokrasi terdegradasi","bener aje, rugi dong plih pak prabowo. buktinya aja videotron ditakedown. nuduh sebaiknya ngaca dulu deh. kasus km rohingya kanjuruhan usut dulu noh diatas. kreativitas dibatasi demokrasi terdegradasi","benar saja , rugi dong plih pak prabowo . buktinya saja videotron ditakedown . menuduh sebaiknya mengaca dulu deh . kasus kamu rohingya kanjuruhan usut dulu itu di atas . kreativitas dibatasi demokrasi terdegradasi",benar saja rugi dong plih pak prabowo bukti saja videotron ditakedown tuduh baik kaca dulu deh kasus kamu rohingya kanjuruhan usut dulu itu di atas kreativitas batas demokrasi degradasi,"['benar', 'saja', 'rugi', 'dong', 'plih', 'pak', 'prabowo', 'bukti', 'saja', 'videotron', 'ditakedown', 'tuduh', 'baik', 'kaca', 'dulu', 'deh', 'kasus', 'kamu', 'rohingya', 'kanjuruhan', 'usut', 'dulu', 'itu', 'di', 'atas', 'kreativitas', 'batas', 'demokrasi', 'degradasi']"
2,Pohon Besar Ambruk di Depan Rumah Prabowo Subianto https://t.co/mz069Uj4Ra,Pohon Besar Ambruk di Depan Rumah Prabowo Subianto,pohon besar ambruk di depan rumah prabowo subianto,pohon besar ambruk depan rumah prabowo subianto,pohon besar ambruk depan rumah prabowo subianto,pohon besar ambruk depan rumah prabowo subianto,"['pohon', 'besar', 'ambruk', 'depan', 'rumah', 'prabowo', 'subianto']"
3,"Penyebab Pohon Tumbang di Depan Rumah Prabowo Bukan karena Angin atau Hujan, Lalu? https://t.co/NCxWkiVSOA","Penyebab Pohon Tumbang di Depan Rumah Prabowo Bukan karena Angin atau Hujan, Lalu?","penyebab pohon tumbang di depan rumah prabowo bukan karena angin atau hujan, lalu?","penyebab pohon tumbang depan rumah prabowo bukan angin hujan, lalu?","penyebab pohon tumbang depan rumah prabowo bukan angin hujan , lalu ?",sebab pohon tumbang depan rumah prabowo bukan angin hujan lalu,"['sebab', 'pohon', 'tumbang', 'depan', 'rumah', 'prabowo', 'bukan', 'angin', 'hujan', 'lalu']"
4,"Sepakat, KamuKita MASbowoGBRAN dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas.  #YangJoint02ThanksYa TambahHARI TambahPakBOWO @prabowo @prabowogibran02 https://t.co/5KowUr8VXx","Sepakat, KamuKita MASbowoGBRAN dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas. TambahHARI TambahPakBOWO","sepakat, kamukita masbowogbran dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas. tambahhari tambahpakbowo","sepakat, kamukita masbowogbran dipercaya mumpuni utk selesaikan masalah dihadapi bangsa, menemukan solusi pas. tambahhari tambahpakbowo","sepakat , kamukita masbowogbran dipercaya mumpuni untuk selesaikan masalah dihadapi bangsa , menemukan solusi pas . tambahhari tambahpakbowo",sepakat kamukita masbowogbran percaya mumpuni untuk selesai masalah hadap bangsa temu solusi pas tambahhari tambahpakbowo,"['sepakat', 'kamukita', 'masbowogbran', 'percaya', 'mumpuni', 'untuk', 'selesai', 'masalah', 'hadap', 'bangsa', 'temu', 'solusi', 'pas', 'tambahhari', 'tambahpakbowo']"
5,"Didin Wahfiudin Ayah Harun Al Rasyid. Jelas &amp  tegas mengatakan: Saya Pendukung Pak Prabowo yang diabaikan.  Mau bohong apa lagi wahai kalian, para  kaum Oportunis tak punya nurani. https://t.co/DwkqXVGJbg","Didin Wahfiudin Ayah Harun Al Rasyid. Jelas &amp tegas mengatakan: Saya Pendukung Pak Prabowo yang diabaikan. Mau bohong apa lagi wahai kalian, para kaum Oportunis tak punya nurani.","didin wahfiudin ayah harun al rasyid. jelas &amp tegas mengatakan: saya pendukung pak prabowo yang diabaikan. mau bohong apa lagi wahai kalian, para kaum oportunis tak punya nurani.","didin wahfiudin ayah harun al rasyid. jelas &amp tegas mengatakan: pendukung pak prabowo diabaikan. mau bohong apa wahai kalian, kaum oportunis tak punya nurani.","didin wahfiudin ayah harun al rasyid . jelas & amp tegas mengatakan : pendukung pak prabowo diabaikan . mau bohong apa wahai kalian , kaum oportunis tidak punya nurani .",din wahfiudin ayah harun al rasyid jelas amp tegas kata dukung pak prabowo abai mau bohong apa wahai kalian kaum oportunis tidak punya nurani,"['din', 'wahfiudin', 'ayah', 'harun', 'al', 'rasyid', 'jelas', 'amp', 'tegas', 'kata', 'dukung', 'pak', 'prabowo', 'abai', 'mau', 'bohong', 'apa', 'wahai', 'kalian', 'kaum', 'oportunis', 'tidak', 'punya', 'nurani']"
6,Katakan tidak pada Prabowo Gibran,Katakan tidak pada Prabowo Gibran,katakan tidak pada prabowo gibran,katakan pada prabowo gibran,katakan pada prabowo gibran,kata pada prabowo gibran,"['kata', 'pada', 'prabowo', 'gibran']"
7,"Elektabilitas Prabowo-Gibran Tembus 51,8%, Pilpres Berpotensi Satu Putaran https://t.co/sb6owWCMf6","Elektabilitas Prabowo-Gibran Tembus %, Pilpres Berpotensi Satu Putaran","elektabilitas prabowo-gibran tembus %, pilpres berpotensi satu putaran","elektabilitas prabowo-gibran tembus %, pilpres berpotensi satu putaran","elektabilitas prabowo-gibran tembus % , pemilihan presiden berpotensi satu putaran",elektabilitas prabowo-gibran tembus pilih presiden potensi satu putar,"['elektabilitas', 'prabowo-gibran', 'tembus', 'pilih', 'presiden', 'potensi', 'satu', 'putar']"
8,"Awas Tim 02 jangan mpe lihat, rese sih, ntar ditiru2 pula kampanye AMIN ini. Uda niru videotron, tapi pake dicekal dulu punya AMIN, vangkee gak tuh?  #AniesDeservesBetter  #PahitManiesAlwaysWithAnies  Kpopers Jangan Pilih Prabowo suka Offside https://t.co/2Jc7E0TRkJ","Awas Tim jangan mpe lihat, rese sih, ntar ditiru pula kampanye AMIN ini. Uda niru videotron, tapi pake dicekal dulu punya AMIN, vangkee gak tuh? Kpopers Jangan Pilih Prabowo suka Offside","awas tim jangan mpe lihat, rese sih, ntar ditiru pula kampanye amin ini. uda niru videotron, tapi pake dicekal dulu punya amin, vangkee gak tuh? kpopers jangan pilih prabowo suka offside","awas tim jangan mpe lihat, rese sih, ntar ditiru kampanye amin ini. uda niru videotron, pake dicekal dulu punya amin, vangkee gak tuh? kpopers jangan pilih prabowo suka offside","awas tim jangan sampai lihat , resek sih , nanti ditiru kampanye amin ini . sudah meniru videotron , pakai dicekal dulu punya amin , vangkee tidak itu ? kpopers jangan pilih prabowo suka offside",awas tim jangan sampai lihat resek sih nanti tiru kampanye amin ini sudah tiru videotron pakai cekal dulu punya amin vangkee tidak itu kpopers jangan pilih prabowo suka offside,"['awas', 'tim', 'jangan', 'sampai', 'lihat', 'resek', 'sih', 'nanti', 'tiru', 'kampanye', 'amin', 'ini', 'sudah', 'tiru', 'videotron', 'pakai', 'cekal', 'dulu', 'punya', 'amin', 'vangkee', 'tidak', 'itu', 'kpopers', 'jangan', 'pilih', 'prabowo', 'suka', 'offside']"
9,"Abah Anies : wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini😭😭""  Ngga papa meskipun Videotron nya udah ngga ada tapi inget  "" MATI SATU TUMBUH SERIBU "" ‼️  #DebatCapres  Apem APOLOGIZE TO ANIES Anies Deserve Better Prabowo https://t.co/l6IliFAhcz""","Abah Anies : wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini"" Ngga papa meskipun Videotron nya udah ngga ada tapi inget "" MATI SATU TUMBUH SERIBU "" Apem APOLOGIZE TO ANIES Anies Deserve Better Prabowo ""","abah anies : wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini"" ngga papa meskipun videotron nya udah ngga ada tapi inget "" mati satu tumbuh seribu "" apem apologize to anies anies deserve better prabowo ""","abah anies : wow terimakasih tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini"" ngga papa meskipun videotron nya udah ngga tapi inget "" mati satu tumbuh seribu "" apem apologize to anies anies deserve better prabowo ""","ayah anies : wah terima kasih tidak pernah membayangkan wah inilah kerja semesta , omaygot inikan mahal ini "" tidak papa meskipun videotron nya sudah tidak tetapi ingat "" mati satu tumbuh seribu "" apem apologize untuk anies anies deserve lebih baik prabowo """,ayah anies wah terima kasih tidak pernah bayang wah ini kerja semesta omaygot ini mahal ini tidak papa meski videotron nya sudah tidak tetapi ingat mati satu tumbuh ribu apem apologize untuk anies anies deserve lebih baik prabowo,"['ayah', 'anies', 'wah', 'terima', 'kasih', 'tidak', 'pernah', 'bayang', 'wah', 'ini', 'kerja', 'semesta', 'omaygot', 'ini', 'mahal', 'ini', 'tidak', 'papa', 'meski', 'videotron', 'nya', 'sudah', 'tidak', 'tetapi', 'ingat', 'mati', 'satu', 'tumbuh', 'ribu', 'apem', 'apologize', 'untuk', 'anies', 'anies', 'deserve', 'lebih', 'baik', 'prabowo']"
10,"Prabowo kalau memang bernyali dan berani, seharusnya sih menerima tantangan ini..  Kalau ga ya sorry yee.. sorry yee..  Gue Cap CEMEN!! https://t.co/tZcuri40BW","Prabowo kalau memang bernyali dan berani, seharusnya sih menerima tantangan ini.. Kalau ga ya sorry yee.. sorry yee.. Gue Cap CEMEN!!","prabowo kalau memang bernyali dan berani, seharusnya sih menerima tantangan ini.. kalau ga ya sorry yee.. sorry yee.. gue cap cemen!!","prabowo kalau memang bernyali berani, sih menerima tantangan ini.. kalau ga sorry yee.. sorry yee.. gue cap cemen!!","prabowo kalau memang bernyali berani , sih menerima tantangan ini .. kalau tidak maaf iya .. maaf iya .. saya cap penakut ! !",prabowo kalau memang nyali berani sih terima tantang ini kalau tidak maaf iya maaf iya saya cap takut,"['prabowo', 'kalau', 'memang', 'nyali', 'berani', 'sih', 'terima', 'tantang', 'ini', 'kalau', 'tidak', 'maaf', 'iya', 'maaf', 'iya', 'saya', 'cap', 'takut']"
11,"Kalau pak Prabowo gak jdi Presiden, kita bisa hemat 400T gaes utk 1 program 👍","Kalau pak Prabowo gak jdi Presiden, kita bisa hemat T gaes utk program","kalau pak prabowo gak jdi presiden, kita bisa hemat t gaes utk program","kalau pak prabowo gak jdi presiden, bisa hemat t gaes utk program","kalau pak prabowo tidak jadi presiden , bisa hemat t teman untuk program",kalau pak prabowo tidak jadi presiden bisa hemat t teman untuk program,"['kalau', 'pak', 'prabowo', 'tidak', 'jadi', 'presiden', 'bisa', 'hemat', 't', 'teman', 'untuk', 'program']"
12,Hati-hati.. Langit mulai bertindak..  Ga ada hujan badai Pohon jatuh sendiri..  Doa Korban dan Keluarga Korban Penculikan Prabowo sedang mengejar Prabowo.. https://t.co/WvOhDRwXpS,Hati-hati.. Langit mulai bertindak.. Ga ada hujan badai Pohon jatuh sendiri.. Doa Korban dan Keluarga Korban Penculikan Prabowo sedang mengejar Prabowo..,hati-hati.. langit mulai bertindak.. ga ada hujan badai pohon jatuh sendiri.. doa korban dan keluarga korban penculikan prabowo sedang mengejar prabowo..,hati-hati.. langit mulai bertindak.. ga hujan badai pohon jatuh sendiri.. doa korban keluarga korban penculikan prabowo sedang mengejar prabowo..,hati-hati .. langit mulai bertindak .. tidak hujan badai pohon jatuh sendiri .. doa korban keluarga korban penculikan prabowo sedang mengejar prabowo ..,hati langit mulai tindak tidak hujan badai pohon jatuh sendiri doa korban keluarga korban culi prabowo sedang kejar prabowo,"['hati', 'langit', 'mulai', 'tindak', 'tidak', 'hujan', 'badai', 'pohon', 'jatuh', 'sendiri', 'doa', 'korban', 'keluarga', 'korban', 'culi', 'prabowo', 'sedang', 'kejar', 'prabowo']"
13,"Kami jawab!  Ya kami siap mengawal dan menagih janji2 Prabowo-Gibran spt yg selama ini kami lakukan terhadap Jokowi. Pada pilpres 2014 dan 2019 kami dukung Jokowi, namun setelah menang kami jadi pengkritiknya. Hal serupa akan kami lakukan pd @prabowo &amp  @gibran_tweet.","Kami jawab! Ya kami siap mengawal dan menagih janji Prabowo-Gibran spt yg selama ini kami lakukan terhadap Jokowi. Pada pilpres dan kami dukung Jokowi, namun setelah menang kami jadi pengkritiknya. Hal serupa akan kami lakukan pd &amp .","kami jawab! ya kami siap mengawal dan menagih janji prabowo-gibran spt yg selama ini kami lakukan terhadap jokowi. pada pilpres dan kami dukung jokowi, namun setelah menang kami jadi pengkritiknya. hal serupa akan kami lakukan pd &amp .","jawab! siap mengawal menagih janji prabowo-gibran spt yg selama kami lakukan jokowi. pilpres kami dukung jokowi, setelah menang kami jadi pengkritiknya. serupa kami lakukan pd &amp .","jawab ! siap mengawal menagih janji prabowo-gibran seperti yang selama kami lakukan jokowi . pemilihan presiden kami dukung jokowi , setelah menang kami jadi pengkritiknya . serupa kami lakukan pada & amp .",jawab siap awal tagih janji prabowo-gibran seperti yang lama kami laku jokowi pilih presiden kami dukung jokowi telah menang kami jadi kritik rupa kami laku pada amp,"['jawab', 'siap', 'awal', 'tagih', 'janji', 'prabowo-gibran', 'seperti', 'yang', 'lama', 'kami', 'laku', 'jokowi', 'pilih', 'presiden', 'kami', 'dukung', 'jokowi', 'telah', 'menang', 'kami', 'jadi', 'kritik', 'rupa', 'kami', 'laku', 'pada', 'amp']"
14,"Tiba-tiba Pohon Besar di Seberang Rumah Prabowo Tumbang, Timpa Fortuner hingga Ringsek https://t.co/npU3ue68Mj","Tiba-tiba Pohon Besar di Seberang Rumah Prabowo Tumbang, Timpa Fortuner hingga Ringsek","tiba-tiba pohon besar di seberang rumah prabowo tumbang, timpa fortuner hingga ringsek","tiba-tiba pohon besar seberang rumah prabowo tumbang, timpa fortuner hingga ringsek","tiba-tiba pohon besar seberang rumah prabowo tumbang , timpa fortuner hingga ringsek",tiba pohon besar seberang rumah prabowo tumbang timpa fortuner hingga ringsek,"['tiba', 'pohon', 'besar', 'seberang', 'rumah', 'prabowo', 'tumbang', 'timpa', 'fortuner', 'hingga', 'ringsek']"
15,"Setiap kejadian tdk ada yg kebetulan, semua trjd atas izin &amp  kehendak Tuhan. Tggal bagaimana manusia memaknai stiap kejadian. Utg cuma mobilnya.☕️  Sebuah Pohon Besar di Depan Rumah Prabowo Tumbang, Timpa Mobil Fortuner Milik Dokter Polri Hingga Ringsek  https://t.co/X78zgzgc5Q","Setiap kejadian tdk ada yg kebetulan, semua trjd atas izin &amp kehendak Tuhan. Tggal bagaimana manusia memaknai stiap kejadian. Utg cuma mobilnya. Sebuah Pohon Besar di Depan Rumah Prabowo Tumbang, Timpa Mobil Fortuner Milik Dokter Polri Hingga Ringsek","setiap kejadian tdk ada yg kebetulan, semua trjd atas izin &amp kehendak tuhan. tggal bagaimana manusia memaknai stiap kejadian. utg cuma mobilnya. sebuah pohon besar di depan rumah prabowo tumbang, timpa mobil fortuner milik dokter polri hingga ringsek","kejadian tdk yg kebetulan, semua trjd atas izin &amp kehendak tuhan. tggal bagaimana manusia memaknai stiap kejadian. utg cuma mobilnya. sebuah pohon besar depan rumah prabowo tumbang, timpa mobil fortuner milik dokter polri hingga ringsek","kejadian tidak yang kebetulan , semua terjadi atas izin & amp kehendak tuhan . tggal bagaimana manusia memaknai setiap kejadian . utg cuma mobilnya . sebuah pohon besar depan rumah prabowo tumbang , timpa mobil fortuner milik dokter kepolisian republik indonesia hingga ringsek",jadi tidak yang betul semua jadi atas izin amp hendak tuhan tggal bagaimana manusia makna tiap jadi utg cuma mobil buah pohon besar depan rumah prabowo tumbang timpa mobil fortuner milik dokter polisi republik indonesia hingga ringsek,"['jadi', 'tidak', 'yang', 'betul', 'semua', 'jadi', 'atas', 'izin', 'amp', 'hendak', 'tuhan', 'tggal', 'bagaimana', 'manusia', 'makna', 'tiap', 'jadi', 'utg', 'cuma', 'mobil', 'buah', 'pohon', 'besar', 'depan', 'rumah', 'prabowo', 'tumbang', 'timpa', 'mobil', 'fortuner', 'milik', 'dokter', 'polisi', 'republik', 'indonesia', 'hingga', 'ringsek']"
16,"Calon presiden (capres) nomor urut 02 Prabowo Subianto ditantang para aktivis mahasiswa dari berbagai kampus di Jakarta, yang tergabung dalam Mahasiswa Jakarta Bergerak.   Para aktivis mahasiswa ini mengajak Prabowo Subianto dan Tim Kampanye Nasional (TKN) Prabowo-Gibran untuk… https://t.co/QMEilctrFP","Calon presiden (capres) nomor urut Prabowo Subianto ditantang para aktivis mahasiswa dari berbagai kampus di Jakarta, yang tergabung dalam Mahasiswa Jakarta Bergerak. Para aktivis mahasiswa ini mengajak Prabowo Subianto dan Tim Kampanye Nasional (TKN) Prabowo-Gibran untuk","calon presiden (capres) nomor urut prabowo subianto ditantang para aktivis mahasiswa dari berbagai kampus di jakarta, yang tergabung dalam mahasiswa jakarta bergerak. para aktivis mahasiswa ini mengajak prabowo subianto dan tim kampanye nasional (tkn) prabowo-gibran untuk","calon presiden (capres) nomor urut prabowo subianto ditantang aktivis mahasiswa berbagai kampus jakarta, tergabung mahasiswa jakarta bergerak. aktivis mahasiswa mengajak prabowo subianto tim kampanye nasional (tkn) prabowo-gibran","calon presiden ( calon presiden ) nomor urut prabowo subianto ditantang aktivis mahasiswa berbagai kampus jakarta , tergabung mahasiswa jakarta bergerak . aktivis mahasiswa mengajak prabowo subianto tim kampanye nasional ( tkn ) prabowo-gibran",calon presiden calon presiden nomor urut prabowo subianto tantang aktivis mahasiswa bagai kampus jakarta gabung mahasiswa jakarta gerak aktivis mahasiswa ajak prabowo subianto tim kampanye nasional tkn prabowo-gibran,"['calon', 'presiden', 'calon', 'presiden', 'nomor', 'urut', 'prabowo', 'subianto', 'tantang', 'aktivis', 'mahasiswa', 'bagai', 'kampus', 'jakarta', 'gabung', 'mahasiswa', 'jakarta', 'gerak', 'aktivis', 'mahasiswa', 'ajak', 'prabowo', 'subianto', 'tim', 'kampanye', 'nasional', 'tkn', 'prabowo-gibran']"
17,"VIRRAL !! Prabowo ogah"" di peluk sama pendukungnya sendiri.. Perlakuan yg sangat jauh berbeda dg PakAnies, disini kita bisa melihat pemimpin yg cinta rakyat dg pemimpin yg ""katanya"" cinta rakyat..  #2024AniesPresiden ☝️ https://t.co/nqTZVt4IPY""","VIRRAL !! Prabowo ogah"" di peluk sama pendukungnya sendiri.. Perlakuan yg sangat jauh berbeda dg PakAnies, disini kita bisa melihat pemimpin yg cinta rakyat dg pemimpin yg ""katanya"" cinta rakyat.. ""","virral !! prabowo ogah"" di peluk sama pendukungnya sendiri.. perlakuan yg sangat jauh berbeda dg pakanies, disini kita bisa melihat pemimpin yg cinta rakyat dg pemimpin yg ""katanya"" cinta rakyat.. ""","virral !! prabowo ogah"" peluk sama pendukungnya sendiri.. perlakuan yg sangat jauh berbeda dg pakanies, disini bisa melihat pemimpin yg cinta rakyat dg pemimpin yg ""katanya"" cinta rakyat.. ""","virral ! ! prabowo tidak mau "" peluk sama pendukungnya sendiri .. perlakuan yang sangat jauh berbeda dengan pakanies , di sini bisa melihat pemimpin yang cinta rakyat dengan pemimpin yang "" katanya "" cinta rakyat .. """,virral prabowo tidak mau peluk sama dukung sendiri laku yang sangat jauh beda dengan pakanies di sini bisa lihat pimpin yang cinta rakyat dengan pimpin yang kata cinta rakyat,"['virral', 'prabowo', 'tidak', 'mau', 'peluk', 'sama', 'dukung', 'sendiri', 'laku', 'yang', 'sangat', 'jauh', 'beda', 'dengan', 'pakanies', 'di', 'sini', 'bisa', 'lihat', 'pimpin', 'yang', 'cinta', 'rakyat', 'dengan', 'pimpin', 'yang', 'kata', 'cinta', 'rakyat']"
18,Dipeluk pendukung Anies ✅ Prabowo ❌  #PahitManiesAlwaysWithAnies  #달빛아래_빛이나는_제니의_생일파티 https://t.co/zc5HfuIghy,Dipeluk pendukung Anies Prabowo,dipeluk pendukung anies prabowo,dipeluk pendukung anies prabowo,dipeluk pendukung anies prabowo,peluk dukung anies prabowo,"['peluk', 'dukung', 'anies', 'prabowo']"
19,Bersama Gerakan Ajengan Muda kita menangkan Prabowo Ginran 1 Putaran  MENANG MENANG MENANG  #JabarTetapPakBowo DariJabar UntukIndonesia https://t.co/lKc4VZ3f5g,Bersama Gerakan Ajengan Muda kita menangkan Prabowo Ginran Putaran MENANG MENANG MENANG DariJabar UntukIndonesia,bersama gerakan ajengan muda kita menangkan prabowo ginran putaran menang menang menang darijabar untukindonesia,bersama gerakan ajengan muda menangkan prabowo ginran putaran menang menang menang darijabar untukindonesia,bersama gerakan ajengan muda menangkan prabowo ginran putaran menang menang menang darijabar untukindonesia,sama gera ajengan muda menang prabowo ginran putar menang menang menang darijabar untukindonesia,"['sama', 'gera', 'ajengan', 'muda', 'menang', 'prabowo', 'ginran', 'putar', 'menang', 'menang', 'menang', 'darijabar', 'untukindonesia']"
20,"Dukungan terus berdatangan untuk Prabowo , baru baru Ini Gerangan Ajengan Muda deklarasi dukung Prabowo Presiden 2024   #JabarTetapPakBowo DariJabar UntukIndonesia https://t.co/m8CtBKOuHP","Dukungan terus berdatangan untuk Prabowo , baru baru Ini Gerangan Ajengan Muda deklarasi dukung Prabowo Presiden DariJabar UntukIndonesia","dukungan terus berdatangan untuk prabowo , baru baru ini gerangan ajengan muda deklarasi dukung prabowo presiden darijabar untukindonesia","dukungan terus berdatangan prabowo , baru baru gerangan ajengan muda deklarasi dukung prabowo presiden darijabar untukindonesia","dukungan terus berdatangan prabowo , baru baru gerangan ajengan muda deklarasi dukung prabowo presiden darijabar untukindonesia",dukung terus datang prabowo baru baru gerangan ajengan muda deklarasi dukung prabowo presiden darijabar untukindonesia,"['dukung', 'terus', 'datang', 'prabowo', 'baru', 'baru', 'gerangan', 'ajengan', 'muda', 'deklarasi', 'dukung', 'prabowo', 'presiden', 'darijabar', 'untukindonesia']"
21,"Setuju sm Pak aries Prabowo-Gibran pemimpin paling pas 2024-2029, Gerakan Ajengan Muda jabar support full Prabowo 2024, semoga ini menjadi tanda kemenangan Prabowo   #JabarTetapPakBowo DariJabar UntukIndonesia https://t.co/jrhZkn9krW","Setuju sm Pak aries Prabowo-Gibran pemimpin paling pas -, Gerakan Ajengan Muda jabar support full Prabowo , semoga ini menjadi tanda kemenangan Prabowo DariJabar UntukIndonesia","setuju sm pak aries prabowo-gibran pemimpin paling pas -, gerakan ajengan muda jabar support full prabowo , semoga ini menjadi tanda kemenangan prabowo darijabar untukindonesia","setuju sm pak aries prabowo-gibran pemimpin paling pas -, gerakan ajengan muda jabar support full prabowo , semoga menjadi tanda kemenangan prabowo darijabar untukindonesia","setuju sama pak aries prabowo-gibran pemimpin paling pas - , gerakan ajengan muda jabar bantu full prabowo , semoga menjadi tanda kemenangan prabowo darijabar untukindonesia",tuju sama pak aries prabowo-gibran pimpin paling pas - gera ajengan muda jabar bantu full prabowo moga jadi tanda menang prabowo darijabar untukindonesia,"['tuju', 'sama', 'pak', 'aries', 'prabowo-gibran', 'pimpin', 'paling', 'pas', '-', 'gera', 'ajengan', 'muda', 'jabar', 'bantu', 'full', 'prabowo', 'moga', 'jadi', 'tanda', 'menang', 'prabowo', 'darijabar', 'untukindonesia']"
22,"Tiba-tiba Pohon Besar di Seberang Rumah Prabowo Tumbang, Timpa Fortuner#newsupdate #update #news #text https://t.co/XddJW1HeMN","Tiba-tiba Pohon Besar di Seberang Rumah Prabowo Tumbang, Timpa Fortuner","tiba-tiba pohon besar di seberang rumah prabowo tumbang, timpa fortuner","tiba-tiba pohon besar seberang rumah prabowo tumbang, timpa fortuner","tiba-tiba pohon besar seberang rumah prabowo tumbang , timpa fortuner",tiba pohon besar seberang rumah prabowo tumbang timpa fortuner,"['tiba', 'pohon', 'besar', 'seberang', 'rumah', 'prabowo', 'tumbang', 'timpa', 'fortuner']"
23,Kampanye @aniesbaswedan di Papua. Selasa 16 Januari 2024. Pak Anies lebih humanies. Prabowo pendekatannya selalu pakai cara militer. #AniesDeservesBetter  #AniesDeservesBetter https://t.co/TTqPtqqoHw,Kampanye di Papua. Selasa Januari . Pak Anies lebih humanies. Prabowo pendekatannya selalu pakai cara militer.,kampanye di papua. selasa januari . pak anies lebih humanies. prabowo pendekatannya selalu pakai cara militer.,kampanye papua. selasa januari . pak anies lebih humanies. prabowo pendekatannya selalu pakai cara militer.,kampanye papua . selasa januari . pak anies lebih humanies . prabowo pendekatannya selalu pakai cara militer .,kampanye papua selasa januari pak anies lebih humanies prabowo dekat selalu pakai cara militer,"['kampanye', 'papua', 'selasa', 'januari', 'pak', 'anies', 'lebih', 'humanies', 'prabowo', 'dekat', 'selalu', 'pakai', 'cara', 'militer']"
24,Magelang Pecah...lautan Manusia pendukung Prabowo-Gibran padati konser Prabu-Dewa 19  Gass Polll Prabowo-Gibran 1 kali putaran menang✌️🫰😻  #02menangindonesiamaju https://t.co/Lzg7vYVDf9,Magelang Pecah...lautan Manusia pendukung Prabowo-Gibran padati konser Prabu-Dewa Gass Polll Prabowo-Gibran kali putaran menang,magelang pecah...lautan manusia pendukung prabowo-gibran padati konser prabu-dewa gass polll prabowo-gibran kali putaran menang,magelang pecah...lautan manusia pendukung prabowo-gibran padati konser prabu-dewa gass polll prabowo-gibran kali putaran menang,magelang pecah ... lautan manusia pendukung prabowo-gibran padati konser prabu-dewa gas pol prabowo-gibran kali putaran menang,magelang pecah laut manusia dukung prabowo-gibran padat konser prabu-dewa gas pol prabowo-gibran kali putar menang,"['magelang', 'pecah', 'laut', 'manusia', 'dukung', 'prabowo-gibran', 'padat', 'konser', 'prabu-dewa', 'gas', 'pol', 'prabowo-gibran', 'kali', 'putar', 'menang']"
25,Anies Tak Baper Diteriaki Nama Prabowo saat Kampanye di Sorong: Inilah Demokrasi https://t.co/e8Cg69UDkQ,Anies Tak Baper Diteriaki Nama Prabowo saat Kampanye di Sorong: Inilah Demokrasi,anies tak baper diteriaki nama prabowo saat kampanye di sorong: inilah demokrasi,anies tak baper diteriaki nama prabowo kampanye sorong: inilah demokrasi,anies tidak bawa perasaan diteriaki nama prabowo kampanye sorong : inilah demokrasi,anies tidak bawa asa riak nama prabowo kampanye sorong ini demokrasi,"['anies', 'tidak', 'bawa', 'asa', 'riak', 'nama', 'prabowo', 'kampanye', 'sorong', 'ini', 'demokrasi']"
