created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 13 07:33:09 +0000 2024;1746072877466616282;"Orasi politik Ganjar saat menghadiri konsolidasi pemenangan di Nganjuk, Jawa Timur.  Ada tiga hal yg disampaikan pak Ganjar pada relawan salah satunya temui rakyat dan dengarkan rakyat.  Bedakan dgn Prabowo, dihadapan pendukungnya malah caci maki dan nyindir Paslon lain.🤦… https://t.co/I6w0fmIOL1";9;152;369;1224;in;154435354;1746072877466616282;ch_chotimah2;https://twitter.com/ch_chotimah2/status/1746072877466616282
Sat Jan 13 07:21:30 +0000 2024;1746069947632271834;"Capres @prabowo memberi kode, Gerindra akan mengusung Bobby Nasuiton jadi cagub Sumut 2024.  https://t.co/ismxjItVc0";39;187;53;209;in;22126902;1746069947632271834;republikaonline;https://twitter.com/republikaonline/status/1746069947632271834
Sat Jan 13 07:20:34 +0000 2024;1746069711430041625;"Kasus Penembakan Relawan Prabowo Di Sampang Tertangkap... Otak Penembakan Oknum Lurah Dan Oknum Kader @PDI_Perjuangan  Ingat Hanya Oknum Ya ☺️ Yg Ancam Anies Baswedan Oknum Siapa Ya Kira² Nyamar Atau Gimana? https://t.co/4IrH24hixk";20;40;137;223;in;117694469;1746069711430041625;dhemit_is_back;https://twitter.com/dhemit_is_back/status/1746069711430041625
Sat Jan 13 07:18:57 +0000 2024;1746069307094921241;"KALAH SEBELUM BERPERANG..  Jadi sebenarnya yang khawatir itu siapa? Prabowo atau Ganjar Anies? 😊 #PrabowoGibran2024  @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd https://t.co/9qcOUTxm9q";10;185;52;198;in;1447610310529982467;1746069307094921241;TeddGus;https://twitter.com/TeddGus/status/1746069307094921241
Sat Jan 13 07:12:54 +0000 2024;1746067784180834321;"@kafiradikalis Sanggup nontonin Prabowo di diskusi kadin? Gua nonton klipnya aja ngantuk";6;20;24;611;in;354154304;1746066818094219762;criftore;https://twitter.com/criftore/status/1746067784180834321
Sat Jan 13 07:11:11 +0000 2024;1746067353094218095;"@zarryhendrik 3 parameter yg kamu sampaikan itu sama sekali gak muncul dari diskusi Prabowo dengan Kadin.  - relevan? Tidak. Beberapa pertanyaan dijawab hanya dengan hilirisasi, yg tidak relevan dengan konteks diskusi. -strategic? Tidak. Prabowo tidak menjelaskan hilirisasi akan dilakukan…";11;48;206;1503;in;1636674081193078790;1746022815403487559;pedagang_kritik;https://twitter.com/pedagang_kritik/status/1746067353094218095
Sat Jan 13 07:09:04 +0000 2024;1746066818094219762;"...Gw baru beres nonton lengkap 3 capres di forum Kadin.  Prabowo gak kuasai masalah. Retorika payah. Substansi goyah. Emosian malah (moderator bbrp kali disela).  Dikasih waktu lebih banyak dibanding 2 capres lain'y tp hampir gak jelasin apa2.  GWS u/ para pemuja'y. (``,)";80;263;2958;13359;in;1242374351078354944;1746066818094219762;kafiradikalis;https://twitter.com/kafiradikalis/status/1746066818094219762
Sat Jan 13 07:06:47 +0000 2024;1746066242698613205;"@kompascom Aku yakin sih dia dalam hatinya menyesal mendukung Prabowo Gibran 😂  https://t.co/kjRKm0ayJ2";1;12;36;379;in;1374686160748830724;1746054861521850873;DS_yantie;https://twitter.com/DS_yantie/status/1746066242698613205
Sat Jan 13 07:05:34 +0000 2024;1746065936933966052;"Usai Debat Ketiga, TKN Yakin Pendukung AMIN Migrasi ke Prabowo-Gibran https://t.co/IPEIpdMMVV";40;422;30;285;in;17128975;1746065936933966052;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1746065936933966052
Sat Jan 13 07:05:04 +0000 2024;1746065810735636976;"@kumparan Pernah jadi alumni Prabowo sejak 2014 &amp  2019, makin hilang respect, empati &amp  simpati ke Beliau. Masalah #DebatCapres dibawa keluar keliling ke Masyarakat untuk dipakai bahan kampanye yg berpotensi menghasut antar masyarakat. Katanya mau merangkul semua dgn riang gembira?";0;1;5;160;in;387748122;1746056269402894443;Ombahku;https://twitter.com/Ombahku/status/1746065810735636976
Sat Jan 13 07:02:34 +0000 2024;1746065184211476698;"TKN Bantah Prabowo Subianto Emosi saat Ucapkan Pintar atau Goblok: Beliau Suka Bercanda https://t.co/x2LvBh0p5P #TempoNasional";153;1303;70;308;in;18129942;1746065184211476698;tempodotco;https://twitter.com/tempodotco/status/1746065184211476698
Sat Jan 13 07:02:01 +0000 2024;1746065042741592472;"Ayah nya mengakui Prabowo itu arogan,  Ayahnya juga mengakui Prabowo terlibat penculikan, Lah elu orang luar membela Prabowo sampai segitunya, dan kau bilang pelanggaran HAM itu isu 5 tahunan.  Isu 5 tahunan ndas'mu 😂😝 #AsalBukanPrabowo https://t.co/ubyk5VKGJU";6;22;118;338;in;1374686160748830724;1746065042741592472;DS_yantie;https://twitter.com/DS_yantie/status/1746065042741592472
Sat Jan 13 06:59:49 +0000 2024;1746064490406293753;"@sketsagram Krn yg rame pak prabowo gak jelas ngomong apa vs pak anies yg tertata 😂";0;2;3;222;in;273226220;1745972125729792048;erasmus70;https://twitter.com/erasmus70/status/1746064490406293753
Sat Jan 13 06:59:24 +0000 2024;1746064386165481723;"@islah_bahrawi Prabowo mau digimanain juga emang susah untuk jadi Presiden di Indonesia. Facenya ga face pemimpin.";0;45;9;449;in;194582998;1746062248454582515;PakarINTELek;https://twitter.com/PakarINTELek/status/1746064386165481723
Sat Jan 13 06:52:54 +0000 2024;1746062748293923216;"Harusnya program food estate itu di buat di tanah2 negara yg di kuasai pak Prabowo aja, gak perlu buka lahan baru. https://t.co/KMkwSNqZhO";8;21;195;440;in;178237411;1746062748293923216;AndiSinulingga;https://twitter.com/AndiSinulingga/status/1746062748293923216
Sat Jan 13 06:50:54 +0000 2024;1746062248454582515;"Saya nonton semua Paslon ketika audiensi dgn Kadin. Selaku mantan gubernur, Ganjar dan Anies sangat rinci menjawab isu-isu praksis yg disodorkan. Prabowo? Maaf, saya harus jujur: dia ndak layak jadi presiden. Ratusan juta rakyat Indonesia ndak boleh jadi tumbal pemimpin dagelan.";153;872;4549;20207;in;1619899748387000322;1746062248454582515;islah_bahrawi;https://twitter.com/islah_bahrawi/status/1746062248454582515
Sat Jan 13 06:47:23 +0000 2024;1746061361225105863;"Ini dua duanya kerjaan prabowo, dongo https://t.co/ZOki2ZNGhN";2;21;143;736;in;1448080308;1746061361225105863;strike_bravo_b;https://twitter.com/strike_bravo_b/status/1746061361225105863
Sat Jan 13 06:43:33 +0000 2024;1746060398074409459;"Prabowo Sebut Food Estate Solusi Ketahanan Pangan, Pakar: Gagal karena Lemah Perencanaan https://t.co/xmEkLzpn1l #TempoBisnis";13;47;139;395;in;18129942;1746060398074409459;tempodotco;https://twitter.com/tempodotco/status/1746060398074409459
Sat Jan 13 06:37:09 +0000 2024;1746058785960116464;"@fadlizon @ShamsiAli2 Berarti fixed dong.. Bang Anies itu di usung oleh Sandiaga Uno,bukan mengajukan diri dan tahun 2019 menolak di calon kan Capres atau Cawapres kalo Pak Prabowo Nyapres..  Yang jadi pertanyaan,kenapa Pak Prabowo yang harus nya pensiun di tahun 2024,malah mencalonkan Capres lagi..";0;11;21;246;in;1683556823117463553;1746056673457021178;ZainalAbdiA;https://twitter.com/ZainalAbdiA/status/1746058785960116464
Sat Jan 13 06:28:45 +0000 2024;1746056673457021178;"Berita lama diambil dr channel Akbar Faisal. Coba nonton videonya utuh n tdk dipotong2. Sekali lg jangan belokkan sejarah hanya karena beda pilihan.  ⁦@ShamsiAli2⁩  Sandi Ungkap Perjanjian Pilpres Anies &amp  Prabowo yang Ditulis Fadli Zon https://t.co/rI5iwI9Tup";28;512;64;258;in;79139422;1746056673457021178;fadlizon;https://twitter.com/fadlizon/status/1746056673457021178
Sat Jan 13 06:27:12 +0000 2024;1746056280245191018;"@fabrizioromanto Gw juga asal prabowo gak jadi presiden, bau orbanya kentel banget cuy..";0;1;4;284;in;1665287737161969664;1746019260038787530;ManzhouElephant;https://twitter.com/ManzhouElephant/status/1746056280245191018
Sat Jan 13 06:27:09 +0000 2024;1746056269402894443;""Mau bicara etik tapi tidak pantas untuk bicara etik. Tapi aku enggak sebut orangnya siapa, lho. Sorry yeee," kata Prabowo di hadapan masyarakat Medan. #newsupdate #update #news #text https://t.co/Pzgxbu7WQf";305;524;631;897;in;759692754985242625;1746056269402894443;kumparan;https://twitter.com/kumparan/status/1746056269402894443
Sat Jan 13 06:23:48 +0000 2024;1746055426599420342;"Dukungan Anak Muda terhadap pasangan @prabowo @gibran_tweet semakin menguat   Prabowo Subianto dianggap mampu menstabilkan ekonomi Indonesia  POV Anak Muda Indonesia di Jepang All in Prabowo  #AllInPrabowo #TDR_now #PrabowoGibran2024 https://t.co/4AZmIpdVfA";1;40;61;245;in;740105373621751808;1746055426599420342;AlianiFebriana;https://twitter.com/AlianiFebriana/status/1746055426599420342
